
"ID_TRANSACCION_ORGANISMO","PROVIDER","TIPO_TARJETA","NUMERO_SERIE_HEX","FECHA_HORA_TRANSACCION","LINEA","ESTACION","AUTOBUS","RUTA","EQUIPO","TIPO_EQUIPO","LOCATION_ID","TIPO_TRANSACCION","SALDO_ANTES_TRANSACCION","MONTO_TRANSACCION","SALDO_DESPUES_TRANSACCION","PERFIL1","PERFIL2","PERFIL3","SAM_SERIAL_HEX_ULTIMA_RECARGA","SAM_SERIAL_HEX","CONTADOR_RECARGAS","CONTADOR_VALIDACIONES","EVENT_LOG","LOAD_LOG","PURCHASE_LOG","MAC","COUNTER_VALUE","COUNTER_AMOUNT","SAM_COUNTER","ENVIRONMENT","ENVIRONMENT_ISSUER_ID","CONTRACT","CONTRACT_TARIFF","CONTRACT_SALE_SAM","CONTRACT_RESTRICT_TIME","CONTRACT_VALIDITY_START_DATE","CONTRACT_VALIDITY_DURATION"
"74444236","15","1","00000000941BA5C8","2024-06-14 13:54:39","12","","06","20","01","4","122406","03","16100","800","15300","0","  0","  0","AEC2EA6A","AEC426C0","","1.679","01FFFFA903011512240633A2A29F0003201512240633A2A29F01010000","","00000000000000000000000000000000000000000000000000000000000000C000AF491E0E7DC7003BC4FCE0272A0342C0AEC426C000068F003BC400AF","000000000000000000000000000003B7EB680A1CF2480600067E852FA3F606D03624","000000","000000","03DA04","148401011234567822B430F70000010101000000000000000000000000","01","01011D4B3F010181800000000000000022B4AEC2841503DA04C47BF6C0","1","AEC28415","00","2021-04-29 00:00:00","63"
"74444480","15","1","000000000587A00F","2024-06-14 14:05:51","12","","06","20","01","4","122406","03","1500","800","700","0","  0","  0","AEC29B0E","AEC426C0","","1.680","01FFFF9703011512240633A2A53F0003201512240633A2A53F01010000","","00000000000000000000000000000000000000000000000000000000000000C000968379AAF44E0002BCFCE0272A034DC0AEC426C00006900002BC0096","0000000000000000000000000000035CC96BD3A7C6648200067F9E2BEF528CAA69C5","000000","000000","000C73","1484015A0000000025BC34010000000000000000000000000000000000","5A","010119CC3F015A8180000000000000002633AEC43BF7000C73C45E6C02","1","AEC43BF7","00","2023-10-11 00:00:00","63"
"74445415","15","1","0000000094B1AFC6","2024-06-15 08:43:49","12","","06","20","01","4","122406","03","6840","800","6040","0","  0","  0","AEC4096E","AEC426C0","","1.681","010000D703011512240633A3AB450003201512240633A3AB4501010000","","00000000000000000000000000000000000000000000000000000000000000C000D6BCE4936CA7001798FCE0272B020BC0AEC426C000069100179800D6","000000000000000000000000000003EB660A5268DD27010006808108DD23E9CD00E6","000000","000000","00734E","1484013200000000266134A50000010101000000000000000000000000","32","010119773F01328180000000000000002688AE10D15A00734EC4700E8E","1","AE10D15A","00","2024-01-04 00:00:00","63"
"74446441","15","1","00000000C857C30E","2024-06-15 11:10:34","12","","06","20","01","4","122406","03","8700","800","7900","0","  0","  0","AEC29C40","AEC426C0","","1.682","0100006A03011512240633A3CDAA0003201512240633A3CDAA01010000","","00000000000000000000000000000000000000000000000000000000000000C006B8F1036C4F95001EDCFCE0272B029EC0AEC426C0000692001EDC06B8","000000000000000000000000000003F7D9C3B5602910C0000681E370A00390D7F9D1","000000","000000","002653","148401321234567820802EC40000010101000000000000000000000000","32","01011F7F3F01328180000000000000002080AE10D260002653C45A9619","1","AE10D260","00","2019-10-13 00:00:00","63"
"74449305","15","1","0000000005694E1E","2024-06-15 13:38:02","12","","06","20","01","4","122406","03","3200","800","2400","0","  0","  0","AE10D228","AEC426C0","","1.683","0100004303011512240633A3F03A0003201512240633A3F03A01010000","","00000000000000000000000000000000000000000000000000000000000000C0013C28BB499327000960FCE0272B0332C0AEC426C0000693000960013C","000000000000000000000000000003FC6AE048D3946F0F000682A526E574938D2ECA","000000","000000","0004B9","1484010100000000259633DB0000000000000000000000000000000000","01","01011A693F01038180000000000000002596AE10F6C00004B9C41830FB","1","AE10F6C0","00","2023-05-07 00:00:00","63"
"74459946","15","1","00000000C331A86B","2024-06-14 07:36:31","12","","06","20","01","4","122406","03","1400","800","600","0","  0","  0","AE10D10E","AEC426C0","","1.676","0100FFE403011512240633A249FF0003201512240633A249FF01010000","","00000000000000000000000000000000000000000000000000000000000000C0034F3F56E20B91000258FCE0272A01C8C0AEC426C000068C000258034F","000000000000000000000000000003681B35CBA6B8A99300067B439BF00CF20D369E","000000","000000","00219A","148401320000000120702EB50000010100000000000000000000000000","32","01011F8F3F01328180000000000000002070AE10D20E00219AC4D25EBC","1","AE10D20E","00","2019-09-27 00:00:00","63"
"74460960","15","1","00000000C8487A55","2024-06-14 08:26:05","12","","06","20","01","4","122406","03","6400","800","5600","0","  0","  0","AEC29B01","AEC426C0","","1.677","01FFFF9C03011512240633A2559D0003201512240633A2559D01010000","","00000000000000000000000000000000000000000000000000000000000000C00215E2AE0CDCD70015E0FCE0272A01FAC0AEC426C000068D0015E00215","00000000000000000000000000000309448ED15519CB2E00067CAF8182A46F5C22F6","000000","000000","007A61","148401321234567820922ED60000010101000000000000000000000000","32","01011F6D3F01328180000000000000002092AE10D0C5007A61C460A4FC","1","AE10D0C5","00","2019-10-31 00:00:00","63"
"74461006","15","1","000000000522E418","2024-06-14 08:28:41","12","","06","20","01","4","122406","03","6800","800","6000","0","  0","  0","AEC4096E","AEC426C0","","1.678","0100017103011512240633A256390003201512240633A2563901010000","","00000000000000000000000000000000000000000000000000000000000000C001702212925298001770FCE0272A01FCC0AEC426C000068E0017700170","0000000000000000000000000000031CAD16F67626FB1C00067DB41FB175643FA9AE","000000","000000","004509","148401320000000024F8333D0000000000000000000000000000000000","32","01011B073F013281800000000000000024F8AE10D1F9004509C4C55A6F","1","AE10D1F9","00","2022-11-30 00:00:00","63"
"74547255","15","1","00000000C855C39C","2024-06-16 09:31:03","12","","8E","10","01","4","12148E","03","7000","800","6200","0","  0","  0","AE10D221","AEC426C1","","2.279","0100007C03011512148E33A507D70003201512148E33A507D701010000","","00000000000000000000000000000000000000000000000000000000000000C000AA50D106D659001838FCE0272C023BC0AEC426C10008E700183800AA","0000000000000000000000000000030E923C5F97C35ED80008CABC3C253A8247709C","000000","000000","002FB8","1484013212345678207E2EC20000010101000000000000000000000000","32","01011F813F0132818000000000000000207EAE10D0C7002FB8C45325DF","1","AE10D0C7","00","2019-10-11 00:00:00","63"
"74547257","15","1","00000000C855C39C","2024-06-16 09:31:05","12","","8E","10","01","4","12148E","03","6200","800","5400","0","  0","  0","AE10D221","AEC426C1","","2.280","0100007D03011512148E33A507D90003201512148E33A507D901010000","","00000000000000000000000000000000000000000000000000000000000000C000ABAD794AA67F001518FCE0272C023BC0AEC426C10008E800151800AB","000000000000000000000000000003860754CC3730152F0008CB3B764F47E107560B","000000","000000","002FB8","1484013212345678207E2EC20000010101000000000000000000000000","32","01011F813F0132818000000000000000207EAE10D0C7002FB8C45325DF","1","AE10D0C7","00","2019-10-11 00:00:00","63"
