
"ID_TRANSACCION_ORGANISMO","PROVIDER","TIPO_TARJETA","NUMERO_SERIE_HEX","FECHA_HORA_TRANSACCION","LINEA","ESTACION","AUTOBUS","RUTA","EQUIPO","TIPO_EQUIPO","LOCATION_ID","TIPO_TRANSACCION","SALDO_ANTES_TRANSACCION","MONTO_TRANSACCION","SALDO_DESPUES_TRANSACCION","PERFIL1","PERFIL2","PERFIL3","SAM_SERIAL_HEX_ULTIMA_RECARGA","SAM_SERIAL_HEX","CONTADOR_RECARGAS","CONTADOR_VALIDACIONES","EVENT_LOG","LOAD_LOG","PURCHASE_LOG","MAC","COUNTER_VALUE","COUNTER_AMOUNT","SAM_COUNTER","ENVIRONMENT","ENVIRONMENT_ISSUER_ID","CONTRACT","CONTRACT_TARIFF","CONTRACT_SALE_SAM","CONTRACT_RESTRICT_TIME","CONTRACT_VALIDITY_START_DATE","CONTRACT_VALIDITY_DURATION"
"123474363","15","1","00000000C32E8FBD","2024-10-16 12:19:07","12","","06","20","01","4","122406","03","1800","800","1000","0","  0","  0","AEC2EA0E","AEC426C0","","2,857","0100007D0301151224063446063B000320151224063446063B01010000","","00000000000000000000000000000000000000000000000000000000000000C004B0B33AD6425D0003E8FCE027A602E3C0AEC426C0000B290003E804B0","00000000000000000000000000000392960151CC066963000B0C29D52FD07995E84C","000000","000000","0014E0","148401320000000120702EB50000010100000000000000000000000000","32","01011F8F3F01328180000000000000002070AE10D2670014E0C4846C11","1","AE10D267","00","2019-09-27 00:00:00","63"
"123501168","15","1","0000000093DAC23A","2024-10-16 13:11:28","12","","06","20","01","4","122406","03","1500","800","700","0","  0","  0","AEC4096C","AEC426C0","","2,858","0100002903011512240634461280000320151224063446128001010000","","00000000000000000000000000000000000000000000000000000000000000C0074A1DB9E997E50002BCFCE027A60317C0AEC426C0000B2A0002BC074A","000000000000000000000000000003061D86D3A11DF69B000B0DF0FC1E4FCF35DFEE","000000","000000","000866","148401321234567820582E9C0000010101000000000000000000000000","32","01011FA73F01328180000000000000002058AE10D185000866C4847823","1","AE10D185","00","2019-09-03 00:00:00","63"
"123518282","15","1","00000000C3A4AA6B","2024-10-16 13:21:50","12","","06","20","01","4","122406","03","6900","800","6100","0","  0","  0","AE11AE3A","AEC426C0","","2,859","0100004A030115122406344614EE00032015122406344614EE01010000","","00000000000000000000000000000000000000000000000000000000000000C0004AF5A29D72200017D4FCE027A60321C0AEC426C0000B2B0017D4004A","0000000000000000000000000000035CA1397AE91D89C4000B0EE862A2D1C09282BB","000000","000000","0070BB","1484013200000001212C2F700000010100000000000000000000000000","32","01011ED33F0132818000000000000000212CAE10D2690070BBC4BF1AA0","1","AE10D269","00","2020-04-02 00:00:00","63"
"123518284","15","1","00000000946B9A05","2024-10-16 13:43:04","12","","06","20","01","4","122406","03","5080","800","4280","0","  0","  0","AE123301","AEC426C0","","2,860","0100003D030115122406344619E800032015122406344619E801010000","","00000000000000000000000000000000000000000000000000000000000000C0003D86EAD7D2A80010B8FCE027A60337C0AEC426C0000B2C0010B8003D","000000000000000000000000000003A312B530394E9919000B0FB5903B4EE2F793E0","000000","000000","0016C7","1484013C12345678232A316D0000010101000000000000000000000000","3C","01011AD93F015A8180000000000000002526AE11AE5A0016C7C49D5AB4","1","AE11AE5A","00","2023-01-15 00:00:00","63"
"123518286","15","1","00000000946B9A05","2024-10-16 13:43:07","12","","06","20","01","4","122406","03","4280","800","3480","0","  0","  0","AE123301","AEC426C0","","2,861","0100003E030115122406344619EB00032015122406344619EB01010000","","00000000000000000000000000000000000000000000000000000000000000C0003EA232CC9DF0000D98FCE027A60337C0AEC426C0000B2D000D98003E","000000000000000000000000000003D385CD3430564D97000B10281999F72F23002A","000000","000000","0016C7","1484013C12345678232A316D0000010101000000000000000000000000","3C","01011AD93F015A8180000000000000002526AE11AE5A0016C7C49D5AB4","1","AE11AE5A","00","2023-01-15 00:00:00","63"
"123629602","15","1","00000000073E6A09","2024-10-16 12:01:10","12","","8E","10","01","4","12148E","03","2400","800","1600","0","  0","  0","AE10D21E","AEC426C1","","3,384","0100003A03011512148E344602060003201512148E3446020601010000","","00000000000000000000000000000000000000000000000000000000000000C00032066D21617C000640FCE027A602D1C0AEC426C1000D380006400032","000000000000000000000000000003C35190D252A6C9B9000D14AAA01AF20FCC052E","000000","000000","0006DC","148401010000000026DD35210000000000000000000000000000000000","01","010118743C0105818000000000000000278BAEC2EA550006DCC4A4DA18","1","AEC2EA55","00","2024-09-19 00:00:00","60"
"123666905","15","1","0000000094C0D054","2024-10-16 19:07:00","12","","9B","30","01","4","12049B","51","","","","0","  0","  0","","","","","","","","00000000000000000000000000000000000000000000000000000000000000000000","000000","000000","","","","","","","","",""
"123767923","15","1","00000000C84041B5","2024-10-16 12:58:43","12","","8E","10","01","4","12148E","03","1600","800","800","0","  0","  0","AE11AE50","AEC426C1","","3,385","010000AA03011512148E34460F830003201512148E34460F8301010000","","00000000000000000000000000000000000000000000000000000000000000C00405AC677F5343000320FCE027A6030AC0AEC426C1000D390003200405","000000000000000000000000000003421B14B4E4B0A5E2000D1522F6D6274E6E40AB","000000","000000","03A4F9","148401321234567820892ECD0000010101000000000000000000000000","32","01011DB23F010281800000000020A001224DAE10DFB203A4F9C445A4BD","1","AE10DFB2","00","2021-01-16 00:00:00","63"
"123767925","15","1","00000000C8A0C87B","2024-10-16 13:06:15","12","","8E","10","01","4","12148E","03","1300","800","500","0","  0","  0","AE130A5E","AEC426C1","","3,386","01FFFF9203011512148E344611470003201512148E3446114701010000","","00000000000000000000000000000000000000000000000000000000000000C000A2A2F21C755B0001F4FCE027A60312C0AEC426C1000D3A0001F400A2","0000000000000000000000000000034A43DB45D48E4706000D167F3834E0B821E672","000000","000000","016DEE","1484013212345678211D2F600000010101000000000000000000000000","32","01011EE23F0132818000000000000000211DAE10D0CF016DEEC4E177B4","1","AE10D0CF","00","2020-03-18 00:00:00","63"
"123768959","15","1","0000000094BAA8BC","2024-10-16 15:12:17","12","","8E","40","01","4","12448E","03","3300","800","2500","0","  0","  0","AE10D1D6","AEC426C1","","3,387","0100003F03011512448E34462ED10003201512448E34462ED101010000","","00000000000000000000000000000000000000000000000000000000000000C0003F2108DB9DE10009C4FCE027A60390C0AEC426C1000D3B0009C4003F","0000000000000000000000000000032608966A7EB001D6000D17AE271A427BCD7432","000000","000000","00A6F4","1484013200000000267034B40000010101000000000000000000000000","32","010119673F01328180000000000000002698AE10D0FF00A6F4C44D94E8","1","AE10D0FF","00","2024-01-20 00:00:00","63"
